entity,iso_code,year,population,source
Gabon,GAB,2021,2341179,https://population.un.org/wpp/Download/Standard/CSV/
Gambia,GMB,2021,2639916,https://population.un.org/wpp/Download/Standard/CSV/
Georgia,GEO,2021,3757980,https://population.un.org/wpp/Download/Standard/CSV/
Germany,DEU,2021,83408554,https://population.un.org/wpp/Download/Standard/CSV/
Ghana,GHA,2021,32833031,https://population.un.org/wpp/Download/Standard/CSV/
Gibraltar,GIB,2021,32670,https://population.un.org/wpp/Download/Standard/CSV/
Greece,GRC,2021,10445365,https://population.un.org/wpp/Download/Standard/CSV/
Greenland,GRL,2021,56243,https://population.un.org/wpp/Download/Standard/CSV/
Grenada,GRD,2021,124610,https://population.un.org/wpp/Download/Standard/CSV/
Guam,GUM,2021,170534,https://population.un.org/wpp/Download/Standard/CSV/
Guatemala,GTM,2021,17608483,https://population.un.org/wpp/Download/Standard/CSV/
Guernsey,GGY,2021,63065,https://population.un.org/wpp/Download/Standard/CSV/
Guinea,GIN,2021,13531906,https://population.un.org/wpp/Download/Standard/CSV/
Guinea-Bissau,GNB,2021,2060721,https://population.un.org/wpp/Download/Standard/CSV/
Guyana,GUY,2021,804567,https://population.un.org/wpp/Download/Standard/CSV/
Haiti,HTI,2021,11447569,https://population.un.org/wpp/Download/Standard/CSV/
High income,OWID_HIC,2021,1241374280,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
Honduras,HND,2021,10278346,https://population.un.org/wpp/Download/Standard/CSV/
Hong Kong,HKG,2021,7494578,https://population.un.org/wpp/Download/Standard/CSV/
Hungary,HUN,2021,9709786,https://population.un.org/wpp/Download/Standard/CSV/
Iceland,ISL,2021,370335,https://population.un.org/wpp/Download/Standard/CSV/
India,IND,2021,1407563842,https://population.un.org/wpp/Download/Standard/CSV/
Indonesia,IDN,2021,273753191,https://population.un.org/wpp/Download/Standard/CSV/
Iran,IRN,2021,87923432,https://population.un.org/wpp/Download/Standard/CSV/
Iraq,IRQ,2021,43533592,https://population.un.org/wpp/Download/Standard/CSV/
Ireland,IRL,2021,4986526,https://population.un.org/wpp/Download/Standard/CSV/
Isle of Man,IMN,2021,84263,https://population.un.org/wpp/Download/Standard/CSV/
Israel,ISR,2021,9291000,https://www.cbs.gov.il/en/mediarelease/Pages/2020/Population-of-Israel-on-the-Eve-of-2021.aspx
Italy,ITA,2021,59240330,https://population.un.org/wpp/Download/Standard/CSV/
Jamaica,JAM,2021,2827694,https://population.un.org/wpp/Download/Standard/CSV/
Japan,JPN,2021,124612530,https://population.un.org/wpp/Download/Standard/CSV/
Jersey,JEY,2021,109618,https://population.un.org/wpp/Download/Standard/CSV/
Jordan,JOR,2021,11148278,https://population.un.org/wpp/Download/Standard/CSV/
Kazakhstan,KAZ,2021,19196465,https://population.un.org/wpp/Download/Standard/CSV/
Kenya,KEN,2021,53005614,https://population.un.org/wpp/Download/Standard/CSV/
Kiribati,KIR,2021,128874,https://population.un.org/wpp/Download/Standard/CSV/
Kosovo,OWID_KOS,2021,1782115,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
Kuwait,KWT,2021,4250114,https://population.un.org/wpp/Download/Standard/CSV/
Kyrgyzstan,KGZ,2021,6527743,https://population.un.org/wpp/Download/Standard/CSV/
Laos,LAO,2021,7425058,https://population.un.org/wpp/Download/Standard/CSV/
Latvia,LVA,2021,1873919,https://population.un.org/wpp/Download/Standard/CSV/
Lebanon,LBN,2021,5592631,https://population.un.org/wpp/Download/Standard/CSV/
Lesotho,LSO,2021,2281454,https://population.un.org/wpp/Download/Standard/CSV/
Liberia,LBR,2021,5193416,https://population.un.org/wpp/Download/Standard/CSV/
Libya,LBY,2021,6735277,https://population.un.org/wpp/Download/Standard/CSV/
Liechtenstein,LIE,2021,39039,https://population.un.org/wpp/Download/Standard/CSV/
Lithuania,LTU,2021,2786651,https://population.un.org/wpp/Download/Standard/CSV/
